Какое слово означает танец?; Степ
Картинка какого города изображена на 500 рублевой купюре?; Архангельск
Что является графиком квадратичной функции?; Парабола
Вставьте правильно буквы в слове паралл_л_пипед:; Параллелепипед
Сколько длилась столетняя война?; 116
Чем былинный Садко сводил с ума морскую царевну?; Гуслями
Какой специалист использует горн?; Кузнец
Количество звезд на флаге США?; 50
Сколько килобайт в 1 мегабайте?; 1024
Как называлась сеть, в которую попалась Золотая рыбка?; Невод
В какой игре используется мяч овальной формы?; Регби
Какая марка машин продвигается с рекламным лозунгом "управляй мечтой"?; Toyota
Как еще называют футбольного вратаря?; Голкипер
Кого сыграл Жан Рено в фильме "Ее звали Никита"?; Чистильщик
Высокая башня с сигнальными огнями на берегу моря.; Маяк
Чей домик оказался крепче всех в сказке "3 поросенка"?; Наф-Наф
Что получили в Индии, скрестив апельсин с лимоном?; Грейпфрут
Как называется неверующий человек?; Атеист
Какой из этих известных городов не имеет титула "Город-Герой"?; Пенза
Какое профессиональное прозвище у Максима Галкина?; Юморист
Где можно найти Лунный камень?; На Земле
Кто заложил основы вирусологии?; Ивановский
Первые общие три карты в покере; Флоп
Как называется последняя сдаваемая карта прикупа в покере?; Ривер
Какой обитатель водной стихии заслужил имя отшельника?; Рак
Какую шахматную фигуру называют "королевой"?; Ферзь
Как звали легионера ударившего копьём в печень Иисуса Христа висевшего на кресте?; Лонгин
Какая продолжительность одного тайма в футболе?; 45 минут
Сколько пар хромосом распределяется на одного (здорового) человека?; 23
Как называлась остроконечная палка, которой погоняли животных?; Стимул
Как называется столица Кубы?; Гавана
Что означает слово колл в покере?; Уравнивание
Какого числа празднуют Всемирный День Авиации и Космонавтики?; 12 апреля
До 1942 г. мужчины считали ниже своего достоинства носить эти часы. И лишь на фронте выявились их преимущества. Что это за часы?; Наручные
В Австрии появились автомобили, оборудованные звуковым сигналом в ультразвуковом диапазоне. Для чего нужен такой сигнал?; Отгонять животных
Жители какой страны танцуют чардаш?; Венгрии
Какого числа отмечается международный День ребенка?; 1 июня
Устройство, позволяющее видеть удаленные небесные тела?; Телескоп
В Кембридже студенту, показавшему наихудшие знания по математике, дарили:; Деревянную ложку
Кто написал МУ-МУ?; Тургенев
Какой титул носил белогвардейский генерал Петр Николаевич Врангель?; Барон
Кто автор картины "Утро в сосновом лесу"?; Шишкин
Кого первым встречает героиня сказки "Гуси-лебеди", отправившаяся на поиски брата?; Печь
Что выращивали для продажи в столице братья из сказки Ершова "Конек-горбунок"?; Пшеницу
К какой стихии относится знак Зодиака Водолей?; Воздух
Как называется подъемный механизм колодца?; Ворот
Какой орган от имени государства осуществляет высший надзор за исполнением законов?; Прокуратура
О какой битве в российской истории говорил русский поэт А . Пушкин?; Полтавской
Кто на писал "Каштанка"?; Чехов
Валюта Киевской Руси, которая сейчас используется в Украине; Гривна
В какое море впадает река Днестр?; Черное
Сколько килограммов в английском фунте?; 0,454
Что, по мнению почтальона Печкина, является главным украшением новогоднего стола?; Телевизор
Кто из мушкетёров был графом де Ля Фер?; Атос
Точное время астрономы определяют наблюдая за движением?; Звезд
Какой выигрыш выпал на лотерейный билет героини фильма “Спортлото-82“?; 20000 рублей
С какого знака Зодиака начинается новый астрологический год?; Овен
Под каким животным искали клад герои к/ф «Необыкновенные приключения итальянцев в России»?; Лев
Какие из этих часов могут иметь секундную стрелку?; Кварцевые
Кто написал роман: Три мушкетера?; Александр Дюма
Солнечная система входит в состав галактики:; Млечный путь
Национальная театральная премия; Золотая маска
Как называется специалист, изучающий киноискусство?; Киновед
Волшебником какого города был Гудвин Великий и Ужасный?; Изумрудного
Что такое верлибр?; Свободный стих
Как звали царя в "Сказке о золотом петушке"?; Дадон
Какой цвет получится если смешать Красный и Синий?; Фиолетовый
Когда американцы отмечают день Благодарения?; Ноябрь
Преобладающая религия в Монголии?; Буддизм
Кто написал "отец Горио"?; Бальзак
Что означает выражение "Давать добро"?; Разрешать
Что такое дрезина?; Железнодорожная машина
Кто написал "Потерянный рай"?; Мильтон
Как звали главного героя сказки Джанни Радари?; Чиполлино
В состав какого из этих напитков не входит мёд?; Квас
Кого не было в числе гостей в Кошкином доме?; Утки
Лидером какой группы является Андрей Макаревич?; Машина времени
Что было на голове человека с улицы Бассейной в известном произведении С. Маршака?; Сковорода
Кто поселился первым в Теремке в одноименной сказке?; Мышка-норушка
Что означает в переводе с французского название пирожного "безе"?; Поцелуй
 Кого ушедший от бабушки и дедушки Колобок первым встретил на своем пути?; Зайца
Чем Балда воду в море мутил?; Веревкой
На каком музыкальном инструменте играл Незнайка?; Труба
Сколько звезд в созвездии "Большая медведица"?; 7
Какой народ придумал танец чардаш?; Венгры
«Зриньски Мостар» - это; Футбольный клуб
Тунец – это?; Морская рыба
Что из перечисленного является спортивным снарядом?; Кузнечик
Назовите самое главное угощение во время древнерусского праздника Масленица?; Блины
Как называется агрессивный зверек в фильме "Наверное боги сошли с ума"?; Медоед
Сетка для забора; Рабица
На территории какого современного государства в середине XX века два года просуществовала страна Бизония?; Германия
Трубка, с двумя зеркальцами клином, где цветные стекляшки отражаются узорочною звездою, переменною, при всяком движении или обороте трубки?; Калейдоскоп
Единственный вид млекопитающих, обитающих в озере Байкал?; Нерпа
Невель-это...; Город
Сколько всего букв в русском языке?; 33
Как называется оболочка Земли,заселенная живыми организмами?; Биосфера
Где появились самые первые бумажные деньги?; В древнем Китае
К чему испытывает непреодолимое влечение пироман?; К поджогам
Как называются специальные чехлы, которые выдают в отдельных музеях, для надевания поверх уличной обуви?; Бахилы
Назовите столицу Чили?; Сантьяго
Как по-научному называется животный мир?; Фауна
Наука изучающая животных?; Зоология
Как называется раздел языкознания, изучающий звуки?; Фонетика
Как называется отгороженное пространство для содержания пресмыкающихся или земноводных?; Террариум
Какое устройство служит для настройки музыкальных инструментов?; Камертон
Где герои кинофильма "Старый Новый год" приняли решение начать жизнь заново?; В бане
Как называется часть поединка в боксе?; Раунд
Строитель в старину - это...; Зодчий
Сколько струн у балалайки?; 3
Кто из этих персонажей варил кашу из топора?; Солдат
В охране какого объекта был задействован Шурик из комедии Л. Гайдая "Операция Ы ..."?; Склад
Столица Канады?; Оттава
Как следует именовать жителей Новороссийска?; Новороссийцы
Какого фильма не существует? XX друзей Оушена; 10 друзей Оушена
Как называют шест для подъема воды из колодца?; Журавль
Что из этого фрукт?; Алыча
Как называется мужской орган цветка, состоящий из нити и пыльника?; Тычинка
Сколько корон у орла на гербе РФ?; 3
Каких улиток употребляют в пищу?; Виноградных
На берегу какой реки стоял родной город Незнайки?; Огурцовая
Кто изобрел радио?; Попов
